what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070007504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1378070058348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070061332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070062679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070063331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070081321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1378070087484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1378070094633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070101038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070104491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070135224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070425443
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1378070440150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070442940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070450072
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378070450323
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378070450363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070507846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070507990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378070529246
